frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,0,[0 0 0 0],[579.873046875 1020.4910278320312 1410.510498046875 1415.291748046875],0.763658881187439,HRL 98R,0.990427707189359
0,0,[37.818946838378906 244.845703125 2029.0843505859375 1956.422607421875],[839.6453247070312 1029.8011474609375 1243.162841796875 1378.7034912109375],0.8194597363471985,FURRY,0.6980565658792605
0,0,[0 0 0 0],[579.873046875 1020.4910278320312 1410.510498046875 1415.291748046875],0.763658881187439,HRL 98R,0.990427707189359
